AgeNormalized,HeightNormalized,WeightNormalized,Sex,Place of birth,Name,Country,Age,Height,Weight,Gold,Silver,Bronze,Total,Sport,Event
0.307692308,0.404494382,0.153846154,F,BRA , Elaine,Brazil,29,168,64,0,0,0,0,Football,Women's Football
0.384615385,0.685393258,0.489010989,M,USA ,A G Kruger,United States of America,33,193,125,0,0,0,0,Athletics,Men's Hammer Throw
0.134615385,0.741573034,0.236263736,M,CAN ,Aaron Brown,Canada,20,198,79,0,0,0,0,Athletics,Men's 200m
0.230769231,0.539325843,0.197802198,M,ESP ,Aaron Sarmiento,Spain,25,180,72,0,0,0,0,Sailing,Men's 470
0.134615385,0.685393258,0.351648352,M,AUS ,Aaron Younger,Australia,20,193,100,0,0,0,0,Water Polo,Men's Water Polo
0.192307692,0.573033708,0.192307692,F,ESP ,Aauri Lorena Bokesa,Spain,23,183,71,0,0,0,0,Athletics,Women's 400m
0.230769231,0.460674157,0.115384615,M,MAR ,Abdalaati Iguider,Morocco,25,173,57,0,0,0,0,Athletics,"Men's 1500m, Men's 5000m"
0.134615385,0.483146067,0.142857143,M,MAR ,Abdelaziz Merzougui,Spain,20,175,62,0,0,0,0,Athletics,Men's 3000m Steeplechase
0.326923077,0.460674157,0.126373626,M,MAR ,Abdellatif Meftah,France,30,173,59,0,0,0,0,Athletics,Men's Marathon
0.173076923,0.651685393,0.461538462,M,EGY ,Abdelrahman Eltrabily,Egypt,22,190,120,0,0,0,0,Wrestling,Men's 120kg Greco-Roman
0.403846154,0.426966292,0.120879121,M,MAR ,Abderrahime Bouramdane,Morocco,34,170,58,0,0,0,0,Athletics,Men's Marathon
0.423076923,0.539325843,0.137362637,M,SOM ,Abdihakem Abdirahman,United States of America,35,180,61,0,0,0,0,Athletics,Men's Marathon
0.192307692,0.449438202,0.164835165,M,EGY ,Abdou Omar Abdou Ahmed,Egypt,23,172,66,0,0,0,0,Wrestling,Men's 66kg Freestyle
0.134615385,0.471910112,0.197802198,M,CHA ,Abdouraim Haroun,Chad,20,174,72,0,0,0,0,Athletics,Men's 100m
0.326923077,0.674157303,0.489010989,M,NGR ,Abdul Buhari,Great Britain,30,192,125,0,0,0,0,Athletics,Men's Discus Throw
0.288461538,0.471910112,0.208791209,M,RUS ,Abdulkhakim Shapiyev,Kazakhstan,28,174,74,0,0,0,0,Wrestling,Men's 74kg Freestyle
0.673076923,0.539325843,0.324175824,M,KUW ,Abdullah Alrashidi,Kuwait,48,180,95,0,0,0,0,Shooting,Men's Skeet
0.192307692,0.516853933,0.263736264,M,RUS ,Abdusalam Gadisov,Russian Federation,23,178,84,0,0,0,0,Wrestling,Men's 96kg Freestyle
0.173076923,0.426966292,0.087912088,F,ETH ,Abeba Aregawi,Ethiopia,22,170,52,0,0,0,0,Athletics,Women's 1500m
0.192307692,0.617977528,0.203296703,M,KEN ,Abel Kiprop Mutai,Kenya,23,187,73,0,0,0,0,Athletics,Men's 3000m Steeplechase
0.153846154,0.449438202,0.186813187,F,GBR ,Abigail Edmonds,Great Britain,21,172,70,0,0,0,0,Canoe Sprint,"Women's Kayak Single (K1  500m, Women's Kayak Double (K2  500m"
0.173076923,0.370786517,0.137362637,F,USA ,Abigail Johnston,United States of America,22,165,61,0,1,0,1,Diving,Women's Synchronised 3m Springboard
0.326923077,0.483146067,0.197802198,F,GBR ,Abigail Walker,Great Britain,30,175,72,0,0,0,0,Hockey,Women's Hockey
0.153846154,0.573033708,0.230769231,F,HUN ,Abigel Joo,Hungary,21,183,78,0,0,0,0,Judo,Women's -78kg
0.096153846,0.235955056,0.104395604,M,EGY ,Abouhalima Abouhalima,Egypt,18,153,55,0,0,0,0,Wrestling,Men's 55kg Greco-Roman
